Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime
2007-2008,2007-11-30,Oklahoma City Thunder,95,93,Indiana Pacers,0OT
2007-2008,2007-11-30,Utah Jazz,120,96,Los Angeles Lakers,0OT
2007-2008,2007-12-01,Washington Wizards,101,97,Toronto Raptors,0OT
2007-2008,2007-12-01,Brooklyn Nets,94,92,Philadelphia 76ers,1OT
2007-2008,2007-12-01,Memphis Grizzlies,109,80,Minnesota Timberwolves,0OT
2007-2008,2007-12-01,New Orleans Pelicans,112,108,Dallas Mavericks,1OT
2007-2008,2007-12-01,Chicago Bulls,111,95,Charlotte Hornets,0OT
2007-2008,2007-12-01,Milwaukee Bucks,91,117,Detroit Pistons,0OT
2007-2008,2007-12-01,Sacramento Kings,107,99,Houston Rockets,0OT
2007-2008,2007-12-02,Boston Celtics,80,70,Cleveland Cavaliers,0OT
2007-2008,2007-12-02,Los Angeles Clippers,95,101,Indiana Pacers,0OT
2007-2008,2007-12-02,San Antonio Spurs,100,79,Portland Trail Blazers,0OT
2007-2008,2007-12-02,Detroit Pistons,118,95,Brooklyn Nets,0OT
2007-2008,2007-12-02,New York Knicks,104,115,Phoenix Suns,0OT
2007-2008,2007-12-02,Denver Nuggets,115,89,Miami Heat,0OT
2007-2008,2007-12-02,Oklahoma City Thunder,96,109,Golden State Warriors,0OT
2007-2008,2007-12-02,Los Angeles Lakers,97,104,Orlando Magic,0OT
2007-2008,2007-12-03,Philadelphia 76ers,79,88,Atlanta Hawks,0OT
2007-2008,2007-12-03,Toronto Raptors,98,79,Charlotte Hornets,0OT
2007-2008,2007-12-03,Memphis Grizzlies,105,106,Portland Trail Blazers,0OT
2007-2008,2007-12-03,Chicago Bulls,98,103,Dallas Mavericks,0OT
2007-2008,2007-12-03,Utah Jazz,110,101,Miami Heat,0OT
2007-2008,2007-12-03,Golden State Warriors,117,123,Orlando Magic,1OT
2007-2008,2007-12-04,Atlanta Hawks,95,106,Detroit Pistons,0OT
2007-2008,2007-12-04,Cleveland Cavaliers,79,100,Brooklyn Nets,0OT
2007-2008,2007-12-04,Indiana Pacers,117,121,Phoenix Suns,0OT
2007-2008,2007-12-04,Minnesota Timberwolves,95,116,Los Angeles Lakers,0OT
2007-2008,2007-12-04,Sacramento Kings,117,107,Utah Jazz,0OT
2007-2008,2007-12-04,Los Angeles Clippers,78,87,Milwaukee Bucks,0OT
2007-2008,2007-12-05,Charlotte Hornets,82,91,Chicago Bulls,0OT
2007-2008,2007-12-05,Philadelphia 76ers,103,113,Boston Celtics,0OT
2007-2008,2007-12-05,Toronto Raptors,123,136,Phoenix Suns,0OT
2007-2008,2007-12-05,Washington Wizards,105,86,Cleveland Cavaliers,0OT
2007-2008,2007-12-05,Brooklyn Nets,93,100,New York Knicks,0OT
2007-2008,2007-12-05,New Orleans Pelicans,76,91,Detroit Pistons,0OT
2007-2008,2007-12-05,Houston Rockets,105,92,Memphis Grizzlies,0OT
2007-2008,2007-12-05,San Antonio Spurs,97,95,Dallas Mavericks,0OT
2007-2008,2007-12-05,Denver Nuggets,107,111,Los Angeles Lakers,0OT
2007-2008,2007-12-05,Golden State Warriors,120,90,Milwaukee Bucks,0OT
2007-2008,2007-12-05,Oklahoma City Thunder,95,88,Los Angeles Clippers,0OT
2007-2008,2007-12-06,Atlanta Hawks,90,89,Minnesota Timberwolves,0OT
2007-2008,2007-12-06,Dallas Mavericks,109,122,Denver Nuggets,0OT
2007-2008,2007-12-06,Portland Trail Blazers,112,106,Miami Heat,0OT
2007-2008,2007-12-07,Detroit Pistons,91,98,Chicago Bulls,0OT
2007-2008,2007-12-07,Orlando Magic,109,115,Indiana Pacers,0OT
2007-2008,2007-12-07,Philadelphia 76ers,101,90,New York Knicks,0OT
2007-2008,2007-12-07,Washington Wizards,107,122,Phoenix Suns,0OT
2007-2008,2007-12-07,Boston Celtics,112,84,Toronto Raptors,0OT
2007-2008,2007-12-07,Brooklyn Nets,89,96,Houston Rockets,0OT
2007-2008,2007-12-07,New Orleans Pelicans,118,116,Memphis Grizzlies,1OT
2007-2008,2007-12-07,San Antonio Spurs,104,98,Utah Jazz,0OT
2007-2008,2007-12-07,Sacramento Kings,87,97,Los Angeles Clippers,0OT
2007-2008,2007-12-07,Golden State Warriors,120,113,Miami Heat,0OT
2007-2008,2007-12-07,Oklahoma City Thunder,104,98,Milwaukee Bucks,0OT
2007-2008,2007-12-08,Atlanta Hawks,86,78,Memphis Grizzlies,0OT
2007-2008,2007-12-08,Charlotte Hornets,96,93,Cleveland Cavaliers,0OT
2007-2008,2007-12-08,New York Knicks,77,105,Philadelphia 76ers,0OT
2007-2008,2007-12-08,Minnesota Timberwolves,100,93,Phoenix Suns,0OT
2007-2008,2007-12-08,Chicago Bulls,81,92,Boston Celtics,0OT
2007-2008,2007-12-08,Dallas Mavericks,125,117,Utah Jazz,0OT
2007-2008,2007-12-08,Denver Nuggets,101,97,Sacramento Kings,0OT
2007-2008,2007-12-09,Toronto Raptors,93,80,Houston Rockets,0OT
2007-2008,2007-12-09,Los Angeles Clippers,94,100,Miami Heat,0OT
2007-2008,2007-12-09,Detroit Pistons,104,85,Charlotte Hornets,0OT
2007-2008,2007-12-09,Portland Trail Blazers,117,113,Milwaukee Bucks,1OT
2007-2008,2007-12-09,New Orleans Pelicans,91,88,Oklahoma City Thunder,0OT
2007-2008,2007-12-09,Washington Wizards,104,89,Brooklyn Nets,0OT
2007-2008,2007-12-09,Los Angeles Lakers,123,113,Golden State Warriors,0OT
2007-2008,2007-12-10,Orlando Magic,87,98,Atlanta Hawks,0OT
2007-2008,2007-12-10,Philadelphia 76ers,100,88,Houston Rockets,0OT
2007-2008,2007-12-10,New York Knicks,89,99,Dallas Mavericks,0OT
2007-2008,2007-12-10,Phoenix Suns,113,117,Miami Heat,0OT
2007-2008,2007-12-10,Sacramento Kings,96,93,Milwaukee Bucks,0OT
2007-2008,2007-12-11,Atlanta Hawks,88,100,Toronto Raptors,0OT
2007-2008,2007-12-11,Cleveland Cavaliers,118,105,Indiana Pacers,0OT
2007-2008,2007-12-11,Washington Wizards,102,88,Minnesota Timberwolves,0OT
2007-2008,2007-12-11,Brooklyn Nets,82,91,Los Angeles Clippers,0OT
2007-2008,2007-12-11,Memphis Grizzlies,103,113,Detroit Pistons,0OT
2007-2008,2007-12-11,Chicago Bulls,123,96,Oklahoma City Thunder,0OT
2007-2008,2007-12-11,Utah Jazz,89,97,Portland Trail Blazers,0OT
2007-2008,2007-12-11,Golden State Warriors,96,84,San Antonio Spurs,0OT
2007-2008,2007-12-12,Charlotte Hornets,108,103,Los Angeles Clippers,0OT
2007-2008,2007-12-12,Indiana Pacers,117,102,Chicago Bulls,0OT
2007-2008,2007-12-12,Philadelphia 76ers,98,94,Minnesota Timberwolves,0OT
2007-2008,2007-12-12,Toronto Raptors,92,76,Dallas Mavericks,0OT
2007-2008,2007-12-12,Boston Celtics,90,78,Sacramento Kings,0OT
2007-2008,2007-12-12,New York Knicks,110,117,Oklahoma City Thunder,0OT
2007-2008,2007-12-12,Houston Rockets,80,77,Detroit Pistons,0OT
2007-2008,2007-12-12,Milwaukee Bucks,100,86,Orlando Magic,0OT
2007-2008,2007-12-12,Denver Nuggets,105,99,New Orleans Pelicans,0OT
2007-2008,2007-12-12,Portland Trail Blazers,105,95,Golden State Warriors,0OT
2007-2008,2007-12-12,Phoenix Suns,103,98,Utah Jazz,0OT
2007-2008,2007-12-13,Miami Heat,91,104,Washington Wizards,0OT
2007-2008,2007-12-13,Los Angeles Lakers,102,97,San Antonio Spurs,0OT
2007-2008,2007-12-14,Indiana Pacers,93,104,Toronto Raptors,0OT
2007-2008,2007-12-14,Philadelphia 76ers,99,109,Sacramento Kings,0OT
2007-2008,2007-12-14,Boston Celtics,104,82,Milwaukee Bucks,0OT
2007-2008,2007-12-14,Charlotte Hornets,87,103,Orlando Magic,0OT
2007-2008,2007-12-14,Detroit Pistons,91,81,Atlanta Hawks,0OT
2007-2008,2007-12-14,Memphis Grizzlies,91,98,Los Angeles Clippers,0OT
2007-2008,2007-12-14,Minnesota Timberwolves,88,99,Oklahoma City Thunder,0OT
2007-2008,2007-12-14,Brooklyn Nets,105,97,Cleveland Cavaliers,0OT
2007-2008,2007-12-14,Chicago Bulls,101,96,New York Knicks,0OT
2007-2008,2007-12-14,Dallas Mavericks,89,80,New Orleans Pelicans,0OT
2007-2008,2007-12-14,Portland Trail Blazers,99,91,Utah Jazz,0OT
2007-2008,2007-12-14,Golden State Warriors,108,106,Los Angeles Lakers,0OT
2007-2008,2007-12-15,Atlanta Hawks,93,84,Charlotte Hornets,0OT
2007-2008,2007-12-15,Orlando Magic,119,123,Memphis Grizzlies,0OT
2007-2008,2007-12-15,Washington Wizards,92,79,Sacramento Kings,0OT
2007-2008,2007-12-15,Cleveland Cavaliers,86,92,Philadelphia 76ers,0OT
2007-2008,2007-12-15,Miami Heat,103,106,Indiana Pacers,0OT
2007-2008,2007-12-15,New York Knicks,94,86,Brooklyn Nets,0OT
2007-2008,2007-12-15,New Orleans Pelicans,101,98,Phoenix Suns,0OT
2007-2008,2007-12-15,Houston Rockets,83,96,Dallas Mavericks,0OT
2007-2008,2007-12-15,Milwaukee Bucks,95,92,Minnesota Timberwolves,0OT
2007-2008,2007-12-15,San Antonio Spurs,102,91,Denver Nuggets,0OT
2007-2008,2007-12-15,Utah Jazz,96,75,Oklahoma City Thunder,0OT
2007-2008,2007-12-16,Detroit Pistons,109,87,Golden State Warriors,0OT
2007-2008,2007-12-16,Toronto Raptors,77,90,Boston Celtics,0OT
2007-2008,2007-12-16,Denver Nuggets,105,116,Portland Trail Blazers,0OT
2007-2008,2007-12-16,Los Angeles Lakers,113,92,Los Angeles Clippers,0OT
2007-2008,2007-12-17,Atlanta Hawks,116,111,Utah Jazz,0OT
2007-2008,2007-12-17,Cleveland Cavaliers,104,99,Milwaukee Bucks,2OT
2007-2008,2007-12-17,Miami Heat,91,87,Minnesota Timberwolves,0OT
2007-2008,2007-12-17,New York Knicks,92,119,Indiana Pacers,0OT
2007-2008,2007-12-17,Memphis Grizzlies,117,125,Golden State Warriors,0OT
2007-2008,2007-12-17,Dallas Mavericks,111,108,Orlando Magic,0OT
2007-2008,2007-12-17,San Antonio Spurs,95,100,Phoenix Suns,0OT
2007-2008,2007-12-17,Portland Trail Blazers,88,76,New Orleans Pelicans,0OT
2007-2008,2007-12-18,Brooklyn Nets,101,106,Sacramento Kings,0OT
2007-2008,2007-12-18,Chicago Bulls,91,103,Los Angeles Lakers,0OT
2007-2008,2007-12-18,Los Angeles Clippers,77,80,Toronto Raptors,0OT
2007-2008,2007-12-19,Atlanta Hawks,114,111,Miami Heat,1OT
2007-2008,2007-12-19,Boston Celtics,85,87,Detroit Pistons,0OT
2007-2008,2007-12-19,Charlotte Hornets,98,92,Utah Jazz,0OT
2007-2008,2007-12-19,Indiana Pacers,102,85,Philadelphia 76ers,0OT
2007-2008,2007-12-19,Washington Wizards,84,95,Chicago Bulls,0OT
2007-2008,2007-12-19,New York Knicks,108,90,Cleveland Cavaliers,0OT
2007-2008,2007-12-19,Memphis Grizzlies,88,85,San Antonio Spurs,0OT
2007-2008,2007-12-19,Milwaukee Bucks,89,102,Sacramento Kings,0OT
2007-2008,2007-12-19,Minnesota Timberwolves,98,111,Golden State Warriors,0OT
2007-2008,2007-12-19,Houston Rockets,92,97,Orlando Magic,0OT
2007-2008,2007-12-19,Dallas Mavericks,108,105,Phoenix Suns,0OT
2007-2008,2007-12-19,Portland Trail Blazers,101,96,Toronto Raptors,0OT
2007-2008,2007-12-19,Oklahoma City Thunder,93,107,New Orleans Pelicans,0OT
2007-2008,2007-12-20,Miami Heat,103,107,Brooklyn Nets,1OT
2007-2008,2007-12-20,Cleveland Cavaliers,94,90,Los Angeles Lakers,0OT
2007-2008,2007-12-20,Denver Nuggets,112,111,Houston Rockets,2OT
2007-2008,2007-12-21,Boston Celtics,107,82,Chicago Bulls,0OT
2007-2008,2007-12-21,Charlotte Hornets,105,95,New York Knicks,0OT
2007-2008,2007-12-21,Orlando Magic,94,113,Utah Jazz,0OT
2007-2008,2007-12-21,Philadelphia 76ers,101,106,Los Angeles Lakers,0OT
2007-2008,2007-12-21,Washington Wizards,92,97,Atlanta Hawks,0OT
2007-2008,2007-12-21,Detroit Pistons,94,67,Memphis Grizzlies,0OT
2007-2008,2007-12-21,Minnesota Timberwolves,131,118,Indiana Pacers,0OT
2007-2008,2007-12-21,Dallas Mavericks,102,89,Los Angeles Clippers,0OT
2007-2008,2007-12-21,Portland Trail Blazers,99,96,Denver Nuggets,0OT
2007-2008,2007-12-21,Oklahoma City Thunder,123,115,Toronto Raptors,0OT
2007-2008,2007-12-22,Indiana Pacers,93,85,Washington Wizards,0OT
2007-2008,2007-12-22,Miami Heat,104,102,Utah Jazz,0OT
2007-2008,2007-12-22,Brooklyn Nets,100,95,Golden State Warriors,0OT
2007-2008,2007-12-22,Memphis Grizzlies,97,99,Philadelphia 76ers,0OT
2007-2008,2007-12-22,New Orleans Pelicans,110,76,Minnesota Timberwolves,0OT
2007-2008,2007-12-22,Chicago Bulls,98,116,Houston Rockets,0OT
2007-2008,2007-12-22,Milwaukee Bucks,103,99,Charlotte Hornets,0OT
2007-2008,2007-12-22,San Antonio Spurs,99,90,Los Angeles Clippers,0OT
2007-2008,2007-12-22,Phoenix Suns,122,103,Toronto Raptors,0OT
2007-2008,2007-12-23,New York Knicks,90,95,Los Angeles Lakers,0OT
2007-2008,2007-12-23,Cleveland Cavaliers,96,105,Golden State Warriors,0OT
2007-2008,2007-12-23,Detroit Pistons,94,82,Houston Rockets,0OT
2007-2008,2007-12-23,Boston Celtics,103,91,Orlando Magic,0OT
2007-2008,2007-12-23,Sacramento Kings,105,106,Denver Nuggets,0OT
2007-2008,2007-12-25,Cleveland Cavaliers,96,82,Miami Heat,0OT
2007-2008,2007-12-25,Los Angeles Lakers,122,115,Phoenix Suns,0OT
2007-2008,2007-12-25,Portland Trail Blazers,89,79,Oklahoma City Thunder,0OT
2007-2008,2007-12-26,Philadelphia 76ers,96,85,Miami Heat,0OT
2007-2008,2007-12-26,Atlanta Hawks,107,95,Indiana Pacers,0OT
2007-2008,2007-12-26,Charlotte Hornets,104,108,Washington Wizards,0OT
2007-2008,2007-12-26,Orlando Magic,110,96,New York Knicks,0OT
2007-2008,2007-12-26,Brooklyn Nets,83,101,Detroit Pistons,0OT
2007-2008,2007-12-26,Memphis Grizzlies,98,116,New Orleans Pelicans,0OT
2007-2008,2007-12-26,San Antonio Spurs,94,79,Chicago Bulls,0OT
2007-2008,2007-12-26,Denver Nuggets,125,105,Milwaukee Bucks,0OT
2007-2008,2007-12-26,Utah Jazz,99,90,Dallas Mavericks,0OT
2007-2008,2007-12-26,Sacramento Kings,69,89,Boston Celtics,0OT
2007-2008,2007-12-26,Golden State Warriors,105,101,Minnesota Timberwolves,0OT
2007-2008,2007-12-27,Dallas Mavericks,81,88,Cleveland Cavaliers,0OT
2007-2008,2007-12-27,Los Angeles Clippers,88,108,Phoenix Suns,0OT
2007-2008,2007-12-27,Oklahoma City Thunder,96,104,Boston Celtics,0OT
2007-2008,2007-12-28,Charlotte Hornets,85,99,New Orleans Pelicans,0OT
2007-2008,2007-12-28,Miami Heat,114,121,Orlando Magic,1OT
2007-2008,2007-12-28,Brooklyn Nets,109,106,Washington Wizards,0OT
2007-2008,2007-12-28,Detroit Pistons,114,101,Indiana Pacers,0OT
2007-2008,2007-12-28,Memphis Grizzlies,83,103,Houston Rockets,0OT
2007-2008,2007-12-28,Chicago Bulls,103,99,Milwaukee Bucks,0OT
2007-2008,2007-12-28,San Antonio Spurs,73,83,Toronto Raptors,0OT
2007-2008,2007-12-28,Phoenix Suns,94,88,Los Angeles Clippers,0OT
2007-2008,2007-12-28,Portland Trail Blazers,109,98,Minnesota Timberwolves,0OT
2007-2008,2007-12-28,Sacramento Kings,80,92,Philadelphia 76ers,0OT
2007-2008,2007-12-28,Golden State Warriors,120,124,Denver Nuggets,0OT
2007-2008,2007-12-28,Los Angeles Lakers,123,109,Utah Jazz,0OT
2007-2008,2007-12-29,Dallas Mavericks,97,84,Atlanta Hawks,0OT
2007-2008,2007-12-29,Indiana Pacers,92,98,Detroit Pistons,0OT
2007-2008,2007-12-29,Orlando Magic,104,95,Charlotte Hornets,0OT
2007-2008,2007-12-29,Washington Wizards,96,74,Miami Heat,0OT
2007-2008,2007-12-29,New Orleans Pelicans,86,76,Cleveland Cavaliers,0OT
2007-2008,2007-12-29,Houston Rockets,91,79,Toronto Raptors,0OT
2007-2008,2007-12-29,Milwaukee Bucks,95,97,Brooklyn Nets,0OT
2007-2008,2007-12-29,Utah Jazz,98,104,Boston Celtics,0OT
2007-2008,2007-12-29,Oklahoma City Thunder,109,90,Minnesota Timberwolves,0OT
2007-2008,2007-12-30,New York Knicks,83,100,Chicago Bulls,0OT
2007-2008,2007-12-30,Portland Trail Blazers,97,72,Philadelphia 76ers,0OT
2007-2008,2007-12-30,Denver Nuggets,95,105,Golden State Warriors,0OT
2007-2008,2007-12-30,San Antonio Spurs,111,87,Memphis Grizzlies,0OT
2007-2008,2007-12-30,Sacramento Kings,102,117,Phoenix Suns,0OT
2007-2008,2007-12-30,Los Angeles Lakers,91,110,Boston Celtics,0OT
2007-2008,2007-12-31,Charlotte Hornets,107,103,Indiana Pacers,1OT
2007-2008,2007-12-31,Chicago Bulls,110,112,Orlando Magic,1OT
2007-2008,2007-12-31,Detroit Pistons,114,69,Milwaukee Bucks,0OT
2007-2008,2007-12-31,Houston Rockets,95,112,Golden State Warriors,0OT
2007-2008,2007-12-31,New Orleans Pelicans,92,97,Toronto Raptors,0OT
2007-2008,2007-12-31,Utah Jazz,111,101,Portland Trail Blazers,0OT
2007-2008,2007-12-31,Los Angeles Clippers,91,82,Minnesota Timberwolves,0OT
2007-2008,2007-12-31,Oklahoma City Thunder,90,98,Philadelphia 76ers,0OT
2007-2008,2008-01-02,Charlotte Hornets,97,109,Chicago Bulls,0OT
2007-2008,2008-01-02,Cleveland Cavaliers,98,94,Atlanta Hawks,0OT
2007-2008,2008-01-02,Indiana Pacers,72,90,Memphis Grizzlies,0OT
2007-2008,2008-01-02,Orlando Magic,95,96,Brooklyn Nets,0OT
2007-2008,2008-01-02,Washington Wizards,93,106,Detroit Pistons,0OT
2007-2008,2008-01-02,Boston Celtics,97,93,Houston Rockets,0OT
2007-2008,2008-01-02,Miami Heat,98,103,Milwaukee Bucks,0OT
2007-2008,2008-01-02,New York Knicks,97,107,Sacramento Kings,0OT
2007-2008,2008-01-02,Minnesota Timberwolves,79,90,Portland Trail Blazers,0OT
2007-2008,2008-01-02,Dallas Mavericks,121,99,Golden State Warriors,0OT
2007-2008,2008-01-02,Utah Jazz,110,107,Philadelphia 76ers,0OT
2007-2008,2008-01-02,Los Angeles Clippers,81,95,New Orleans Pelicans,0OT
2007-2008,2008-01-03,Chicago Bulls,109,115,Portland Trail Blazers,2OT
2007-2008,2008-01-03,Denver Nuggets,80,77,San Antonio Spurs,0OT
2007-2008,2008-01-03,Phoenix Suns,104,96,Oklahoma City Thunder,0OT
2007-2008,2008-01-04,Indiana Pacers,113,91,Atlanta Hawks,0OT
2007-2008,2008-01-04,Orlando Magic,94,96,Houston Rockets,0OT
2007-2008,2008-01-04,Toronto Raptors,85,101,Detroit Pistons,0OT
2007-2008,2008-01-04,Boston Celtics,100,96,Memphis Grizzlies,0OT
2007-2008,2008-01-04,Cleveland Cavaliers,97,93,Sacramento Kings,0OT
2007-2008,2008-01-04,Brooklyn Nets,102,96,Charlotte Hornets,0OT
2007-2008,2008-01-04,Minnesota Timberwolves,107,118,Denver Nuggets,0OT
2007-2008,2008-01-04,Milwaukee Bucks,77,101,Washington Wizards,0OT
2007-2008,2008-01-04,San Antonio Spurs,97,93,New York Knicks,0OT
2007-2008,2008-01-04,Dallas Mavericks,94,89,Miami Heat,0OT
2007-2008,2008-01-04,Golden State Warriors,104,116,New Orleans Pelicans,0OT
2007-2008,2008-01-04,Los Angeles Lakers,124,93,Philadelphia 76ers,0OT
2007-2008,2008-01-05,Atlanta Hawks,107,113,Brooklyn Nets,0OT
2007-2008,2008-01-05,Detroit Pistons,85,92,Boston Celtics,0OT
2007-2008,2008-01-05,Chicago Bulls,94,93,Sacramento Kings,0OT
2007-2008,2008-01-05,Houston Rockets,103,91,New York Knicks,0OT
2007-2008,2008-01-05,Phoenix Suns,113,118,New Orleans Pelicans,0OT
2007-2008,2008-01-05,Portland Trail Blazers,103,89,Utah Jazz,0OT
2007-2008,2008-01-06,Toronto Raptors,90,93,Cleveland Cavaliers,0OT
2007-2008,2008-01-06,Washington Wizards,108,86,Oklahoma City Thunder,0OT
2007-2008,2008-01-06,Los Angeles Clippers,82,88,San Antonio Spurs,0OT
2007-2008,2008-01-06,Minnesota Timberwolves,78,101,Dallas Mavericks,0OT
2007-2008,2008-01-06,Memphis Grizzlies,101,94,Miami Heat,0OT
2007-2008,2008-01-06,Charlotte Hornets,89,93,Milwaukee Bucks,0OT
2007-2008,2008-01-06,Denver Nuggets,109,96,Philadelphia 76ers,0OT
2007-2008,2008-01-06,Los Angeles Lakers,112,96,Indiana Pacers,0OT
2007-2008,2008-01-07,Phoenix Suns,137,115,Denver Nuggets,0OT
2007-2008,2008-01-07,Golden State Warriors,130,121,San Antonio Spurs,1OT
2007-2008,2008-01-08,Charlotte Hornets,115,99,Brooklyn Nets,0OT
2007-2008,2008-01-08,Cleveland Cavaliers,95,79,Oklahoma City Thunder,0OT
2007-2008,2008-01-08,Philadelphia 76ers,83,87,Milwaukee Bucks,0OT
2007-2008,2008-01-08,Washington Wizards,84,92,Houston Rockets,0OT
2007-2008,2008-01-08,Memphis Grizzlies,101,117,Los Angeles Lakers,0OT
2007-2008,2008-01-08,Minnesota Timberwolves,101,91,Miami Heat,0OT
2007-2008,2008-01-08,Chicago Bulls,100,105,New York Knicks,0OT
2007-2008,2008-01-08,Utah Jazz,111,89,Indiana Pacers,0OT
2007-2008,2008-01-08,Sacramento Kings,104,100,Orlando Magic,0OT
2007-2008,2008-01-09,Atlanta Hawks,90,81,Cleveland Cavaliers,0OT
2007-2008,2008-01-09,Toronto Raptors,109,96,Philadelphia 76ers,0OT
2007-2008,2008-01-09,Boston Celtics,83,95,Charlotte Hornets,0OT
2007-2008,2008-01-09,Brooklyn Nets,99,88,Oklahoma City Thunder,0OT
2007-2008,2008-01-09,New York Knicks,92,101,Houston Rockets,0OT
2007-2008,2008-01-09,Milwaukee Bucks,98,92,Miami Heat,0OT
2007-2008,2008-01-09,New Orleans Pelicans,80,109,Los Angeles Lakers,0OT
2007-2008,2008-01-09,Dallas Mavericks,102,86,Detroit Pistons,0OT
2007-2008,2008-01-09,Phoenix Suns,129,122,Indiana Pacers,1OT
2007-2008,2008-01-09,Portland Trail Blazers,109,91,Golden State Warriors,0OT
2007-2008,2008-01-09,Los Angeles Clippers,106,113,Orlando Magic,0OT
2007-2008,2008-01-10,San Antonio Spurs,80,90,Detroit Pistons,0OT
2007-2008,2008-01-10,Sacramento Kings,116,113,Memphis Grizzlies,0OT
2007-2008,2008-01-10,Utah Jazz,108,86,Phoenix Suns,0OT
2007-2008,2008-01-11,Philadelphia 76ers,97,100,Chicago Bulls,0OT
2007-2008,2008-01-11,Atlanta Hawks,98,102,Washington Wizards,1OT
