Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,home_win_percentage,away_win_percentage
2012-2013,2013-02-01,Boston Celtics,97,84,Orlando Magic,0.4888888888888889,0.3111111111111111
2012-2013,2013-02-01,Brooklyn Nets,93,89,Chicago Bulls,0.5869565217391305,0.6222222222222222
2012-2013,2013-02-01,Detroit Pistons,117,99,Cleveland Cavaliers,0.3695652173913043,0.2826086956521739
2012-2013,2013-02-01,New York Knicks,96,86,Milwaukee Bucks,0.6511627906976745,0.5454545454545454
2012-2013,2013-02-01,Philadelphia 76ers,89,80,Sacramento Kings,0.4222222222222222,0.3617021276595745
2012-2013,2013-02-01,Memphis Grizzlies,85,76,Washington Wizards,0.6444444444444445,0.25
2012-2013,2013-02-01,Denver Nuggets,113,98,New Orleans Pelicans,0.6170212765957447,0.32608695652173914
2012-2013,2013-02-01,Phoenix Suns,99,109,Dallas Mavericks,0.34782608695652173,0.41304347826086957
2012-2013,2013-02-01,Utah Jazz,86,77,Portland Trail Blazers,0.5434782608695652,0.5111111111111111
2012-2013,2013-02-01,Minnesota Timberwolves,100,111,Los Angeles Lakers,0.40476190476190477,0.43478260869565216
2012-2013,2013-02-02,Atlanta Hawks,76,93,Chicago Bulls,0.5777777777777777,0.6086956521739131
2012-2013,2013-02-02,Cleveland Cavaliers,115,110,Oklahoma City Thunder,0.2765957446808511,0.7608695652173914
2012-2013,2013-02-02,New York Knicks,120,81,Sacramento Kings,0.6590909090909091,0.3541666666666667
2012-2013,2013-02-02,Houston Rockets,109,95,Charlotte Hornets,0.5208333333333334,0.24444444444444444
2012-2013,2013-02-02,Minnesota Timberwolves,115,86,New Orleans Pelicans,0.3953488372093023,0.3191489361702128
2012-2013,2013-02-02,Milwaukee Bucks,107,98,Orlando Magic,0.5333333333333333,0.30434782608695654
2012-2013,2013-02-02,San Antonio Spurs,96,86,Washington Wizards,0.7708333333333334,0.24444444444444444
2012-2013,2013-02-02,Portland Trail Blazers,105,99,Utah Jazz,0.5,0.5531914893617021
2012-2013,2013-02-02,Golden State Warriors,113,93,Phoenix Suns,0.6304347826086957,0.3404255319148936
2012-2013,2013-02-03,Boston Celtics,106,104,Los Angeles Clippers,0.5,0.7083333333333334
2012-2013,2013-02-03,Detroit Pistons,97,98,Los Angeles Lakers,0.3829787234042553,0.44680851063829785
2012-2013,2013-02-03,Toronto Raptors,85,100,Miami Heat,0.3617021276595745,0.6744186046511628
2012-2013,2013-02-04,Indiana Pacers,111,101,Chicago Bulls,0.5957446808510638,0.6170212765957447
2012-2013,2013-02-04,Philadelphia 76ers,78,61,Orlando Magic,0.43478260869565216,0.2978723404255319
2012-2013,2013-02-04,Washington Wizards,98,90,Los Angeles Clippers,0.2391304347826087,0.6938775510204082
2012-2013,2013-02-04,Miami Heat,99,94,Charlotte Hornets,0.6818181818181818,0.2391304347826087
2012-2013,2013-02-04,New York Knicks,99,85,Detroit Pistons,0.6666666666666666,0.375
2012-2013,2013-02-04,Minnesota Timberwolves,98,100,Portland Trail Blazers,0.4090909090909091,0.5106382978723404
2012-2013,2013-02-04,Oklahoma City Thunder,112,91,Dallas Mavericks,0.7446808510638298,0.425531914893617
2012-2013,2013-02-04,Utah Jazz,98,91,Sacramento Kings,0.5416666666666666,0.3469387755102041
2012-2013,2013-02-05,Indiana Pacers,114,103,Atlanta Hawks,0.6041666666666666,0.5652173913043478
2012-2013,2013-02-05,Brooklyn Nets,83,92,Los Angeles Lakers,0.5957446808510638,0.4583333333333333
2012-2013,2013-02-05,Houston Rockets,140,109,Golden State Warriors,0.5306122448979592,0.6382978723404256
2012-2013,2013-02-05,Memphis Grizzlies,90,96,Phoenix Suns,0.6521739130434783,0.3333333333333333
2012-2013,2013-02-05,Denver Nuggets,112,104,Milwaukee Bucks,0.625,0.5434782608695652
2012-2013,2013-02-06,Cleveland Cavaliers,122,95,Charlotte Hornets,0.2916666666666667,0.23404255319148937
2012-2013,2013-02-06,Orlando Magic,76,86,Los Angeles Clippers,0.2916666666666667,0.68
2012-2013,2013-02-06,Philadelphia 76ers,69,88,Indiana Pacers,0.44680851063829785,0.6122448979591837
2012-2013,2013-02-06,Toronto Raptors,95,99,Boston Celtics,0.3541666666666667,0.5106382978723404
2012-2013,2013-02-06,Washington Wizards,106,96,New York Knicks,0.2553191489361702,0.6739130434782609
2012-2013,2013-02-06,Atlanta Hawks,103,92,Memphis Grizzlies,0.5531914893617021,0.6382978723404256
2012-2013,2013-02-06,Detroit Pistons,90,93,Brooklyn Nets,0.3673469387755102,0.5833333333333334
2012-2013,2013-02-06,Miami Heat,114,108,Houston Rockets,0.6888888888888889,0.54
2012-2013,2013-02-06,New Orleans Pelicans,93,84,Phoenix Suns,0.3125,0.3469387755102041
2012-2013,2013-02-06,Oklahoma City Thunder,119,98,Golden State Warriors,0.75,0.625
2012-2013,2013-02-06,Dallas Mavericks,105,99,Portland Trail Blazers,0.4166666666666667,0.5208333333333334
2012-2013,2013-02-06,Minnesota Timberwolves,94,104,San Antonio Spurs,0.4,0.7755102040816326
2012-2013,2013-02-06,Utah Jazz,100,86,Milwaukee Bucks,0.5510204081632653,0.5319148936170213
2012-2013,2013-02-07,Boston Celtics,116,95,Los Angeles Lakers,0.5208333333333334,0.46938775510204084
2012-2013,2013-02-07,Denver Nuggets,128,96,Chicago Bulls,0.6326530612244898,0.6041666666666666
2012-2013,2013-02-08,Charlotte Hornets,93,100,Los Angeles Lakers,0.22916666666666666,0.46
2012-2013,2013-02-08,Indiana Pacers,98,100,Toronto Raptors,0.62,0.3469387755102041
2012-2013,2013-02-08,Washington Wizards,89,74,Brooklyn Nets,0.2708333333333333,0.5918367346938775
2012-2013,2013-02-08,Atlanta Hawks,100,111,New Orleans Pelicans,0.5625,0.32653061224489793
2012-2013,2013-02-08,Cleveland Cavaliers,119,108,Orlando Magic,0.30612244897959184,0.2857142857142857
2012-2013,2013-02-08,Detroit Pistons,119,109,San Antonio Spurs,0.36,0.78
2012-2013,2013-02-08,Houston Rockets,118,103,Portland Trail Blazers,0.5294117647058824,0.5102040816326531
2012-2013,2013-02-08,Memphis Grizzlies,99,93,Golden State Warriors,0.625,0.6122448979591837
2012-2013,2013-02-08,Miami Heat,111,89,Los Angeles Clippers,0.6956521739130435,0.6862745098039216
2012-2013,2013-02-08,Minnesota Timberwolves,94,100,New York Knicks,0.391304347826087,0.6595744680851063
2012-2013,2013-02-08,Oklahoma City Thunder,127,96,Phoenix Suns,0.7551020408163265,0.34
2012-2013,2013-02-08,Utah Jazz,89,93,Chicago Bulls,0.56,0.5918367346938775
2012-2013,2013-02-09,Cleveland Cavaliers,103,111,Denver Nuggets,0.32,0.64
2012-2013,2013-02-09,Philadelphia 76ers,87,76,Charlotte Hornets,0.4375,0.22448979591836735
2012-2013,2013-02-09,Dallas Mavericks,116,91,Golden State Warriors,0.42857142857142855,0.6
2012-2013,2013-02-09,Milwaukee Bucks,100,105,Detroit Pistons,0.5208333333333334,0.37254901960784315
2012-2013,2013-02-09,Sacramento Kings,120,109,Utah Jazz,0.34,0.5490196078431373
2012-2013,2013-02-10,New York Knicks,88,102,Los Angeles Clippers,0.6666666666666666,0.6730769230769231
2012-2013,2013-02-10,Miami Heat,107,97,Los Angeles Lakers,0.7021276595744681,0.47058823529411764
2012-2013,2013-02-10,Boston Celtics,118,114,Denver Nuggets,0.5306122448979592,0.6470588235294118
2012-2013,2013-02-10,Memphis Grizzlies,105,88,Minnesota Timberwolves,0.6326530612244898,0.3829787234042553
2012-2013,2013-02-10,Orlando Magic,110,104,Portland Trail Blazers,0.28,0.5
2012-2013,2013-02-10,Toronto Raptors,102,89,New Orleans Pelicans,0.36,0.34
2012-2013,2013-02-10,Brooklyn Nets,86,111,San Antonio Spurs,0.58,0.7647058823529411
2012-2013,2013-02-10,Phoenix Suns,69,97,Oklahoma City Thunder,0.3333333333333333,0.76
2012-2013,2013-02-10,Sacramento Kings,117,111,Houston Rockets,0.35294117647058826,0.5384615384615384
2012-2013,2013-02-11,Charlotte Hornets,94,91,Boston Celtics,0.22,0.54
2012-2013,2013-02-11,Cleveland Cavaliers,92,100,Minnesota Timberwolves,0.3137254901960784,0.375
2012-2013,2013-02-11,Indiana Pacers,84,89,Brooklyn Nets,0.6078431372549019,0.5686274509803921
2012-2013,2013-02-11,Philadelphia 76ers,90,107,Los Angeles Clippers,0.4489795918367347,0.6792452830188679
2012-2013,2013-02-11,Detroit Pistons,86,105,New Orleans Pelicans,0.38461538461538464,0.3333333333333333
2012-2013,2013-02-11,Chicago Bulls,89,103,San Antonio Spurs,0.6,0.7692307692307693
2012-2013,2013-02-11,Milwaukee Bucks,90,102,Washington Wizards,0.5102040816326531,0.2857142857142857
2012-2013,2013-02-11,Dallas Mavericks,101,105,Atlanta Hawks,0.44,0.5510204081632653
2012-2013,2013-02-12,Toronto Raptors,109,108,Denver Nuggets,0.37254901960784315,0.6346153846153846
2012-2013,2013-02-12,Miami Heat,117,104,Portland Trail Blazers,0.7083333333333334,0.49019607843137253
2012-2013,2013-02-12,Memphis Grizzlies,108,101,Sacramento Kings,0.64,0.36538461538461536
2012-2013,2013-02-12,Utah Jazz,109,94,Oklahoma City Thunder,0.5384615384615384,0.7647058823529411
2012-2013,2013-02-12,Golden State Warriors,107,116,Houston Rockets,0.5882352941176471,0.5283018867924528
2012-2013,2013-02-12,Los Angeles Lakers,91,85,Phoenix Suns,0.46153846153846156,0.3269230769230769
2012-2013,2013-02-13,Cleveland Cavaliers,95,96,San Antonio Spurs,0.3076923076923077,0.7735849056603774
2012-2013,2013-02-13,Indiana Pacers,101,77,Charlotte Hornets,0.5961538461538461,0.23529411764705882
2012-2013,2013-02-13,Orlando Magic,76,108,Atlanta Hawks,0.29411764705882354,0.56
2012-2013,2013-02-13,Boston Celtics,71,69,Chicago Bulls,0.5294117647058824,0.5882352941176471
2012-2013,2013-02-13,Brooklyn Nets,119,108,Denver Nuggets,0.5769230769230769,0.6226415094339622
2012-2013,2013-02-13,Detroit Pistons,96,85,Washington Wizards,0.37735849056603776,0.3
2012-2013,2013-02-13,New York Knicks,88,92,Toronto Raptors,0.6530612244897959,0.38461538461538464
2012-2013,2013-02-13,Milwaukee Bucks,94,92,Philadelphia 76ers,0.5,0.44
2012-2013,2013-02-13,Minnesota Timberwolves,93,97,Utah Jazz,0.3877551020408163,0.5471698113207547
2012-2013,2013-02-13,New Orleans Pelicans,99,63,Portland Trail Blazers,0.34615384615384615,0.4807692307692308
2012-2013,2013-02-13,Dallas Mavericks,123,100,Sacramento Kings,0.43137254901960786,0.3584905660377358
2012-2013,2013-02-13,Los Angeles Clippers,106,96,Houston Rockets,0.6851851851851852,0.5370370370370371
2012-2013,2013-02-14,Oklahoma City Thunder,100,110,Miami Heat,0.75,0.7142857142857143
2012-2013,2013-02-14,Los Angeles Lakers,101,125,Los Angeles Clippers,0.4716981132075472,0.6909090909090909
2012-2013,2013-02-19,Orlando Magic,92,105,Charlotte Hornets,0.28846153846153844,0.23076923076923078
2012-2013,2013-02-19,Washington Wizards,88,96,Toronto Raptors,0.29411764705882354,0.39622641509433965
2012-2013,2013-02-19,Brooklyn Nets,113,111,Milwaukee Bucks,0.5849056603773585,0.5098039215686274
2012-2013,2013-02-19,Detroit Pistons,91,105,Memphis Grizzlies,0.3888888888888889,0.6470588235294118
2012-2013,2013-02-19,New Orleans Pelicans,87,96,Chicago Bulls,0.3584905660377358,0.5769230769230769
2012-2013,2013-02-19,Denver Nuggets,97,90,Boston Celtics,0.6111111111111112,0.5384615384615384
2012-2013,2013-02-19,Utah Jazz,115,101,Golden State Warriors,0.5555555555555556,0.5769230769230769
2012-2013,2013-02-19,Portland Trail Blazers,98,102,Phoenix Suns,0.4716981132075472,0.32075471698113206
2012-2013,2013-02-19,Sacramento Kings,102,108,San Antonio Spurs,0.35185185185185186,0.7777777777777778
2012-2013,2013-02-20,Charlotte Hornets,99,105,Detroit Pistons,0.24528301886792453,0.38181818181818183
2012-2013,2013-02-20,Indiana Pacers,125,91,New York Knicks,0.6037735849056604,0.64
2012-2013,2013-02-20,Toronto Raptors,82,88,Memphis Grizzlies,0.4074074074074074,0.6538461538461539
2012-2013,2013-02-20,Atlanta Hawks,90,103,Miami Heat,0.5686274509803921,0.72
2012-2013,2013-02-20,Cleveland Cavaliers,105,100,New Orleans Pelicans,0.3018867924528302,0.35185185185185186
2012-2013,2013-02-20,Houston Rockets,122,119,Oklahoma City Thunder,0.5272727272727272,0.7358490566037735
2012-2013,2013-02-20,Milwaukee Bucks,94,97,Brooklyn Nets,0.5,0.5925925925925926
2012-2013,2013-02-20,Minnesota Timberwolves,94,87,Philadelphia 76ers,0.38,0.43137254901960786
2012-2013,2013-02-20,Dallas Mavericks,111,96,Orlando Magic,0.4423076923076923,0.2830188679245283
2012-2013,2013-02-20,Golden State Warriors,108,98,Phoenix Suns,0.5660377358490566,0.3333333333333333
2012-2013,2013-02-20,Los Angeles Lakers,113,99,Boston Celtics,0.46296296296296297,0.5283018867924528
2012-2013,2013-02-21,Chicago Bulls,67,86,Miami Heat,0.5849056603773585,0.7254901960784313
2012-2013,2013-02-21,Los Angeles Clippers,90,116,San Antonio Spurs,0.6964285714285714,0.7818181818181819
2012-2013,2013-02-22,Charlotte Hornets,75,105,Chicago Bulls,0.24074074074074073,0.5740740740740741
2012-2013,2013-02-22,Indiana Pacers,114,82,Detroit Pistons,0.6111111111111112,0.39285714285714285
2012-2013,2013-02-22,Toronto Raptors,100,98,New York Knicks,0.4,0.6274509803921569
2012-2013,2013-02-22,Washington Wizards,119,113,Denver Nuggets,0.28846153846153844,0.6181818181818182
2012-2013,2013-02-22,Atlanta Hawks,122,108,Sacramento Kings,0.5576923076923077,0.34545454545454546
2012-2013,2013-02-22,Brooklyn Nets,96,106,Houston Rockets,0.6,0.5357142857142857
2012-2013,2013-02-22,Memphis Grizzlies,88,82,Orlando Magic,0.660377358490566,0.2777777777777778
2012-2013,2013-02-22,New Orleans Pelicans,100,104,Dallas Mavericks,0.34545454545454546,0.4528301886792453
2012-2013,2013-02-22,Oklahoma City Thunder,127,111,Minnesota Timberwolves,0.7222222222222222,0.39215686274509803
2012-2013,2013-02-22,Phoenix Suns,88,113,Boston Celtics,0.32727272727272727,0.5185185185185185
2012-2013,2013-02-22,Golden State Warriors,107,101,San Antonio Spurs,0.5740740740740741,0.7857142857142857
2012-2013,2013-02-22,Los Angeles Lakers,111,107,Portland Trail Blazers,0.4727272727272727,0.46296296296296297
2012-2013,2013-02-23,Charlotte Hornets,99,113,Denver Nuggets,0.23636363636363636,0.6071428571428571
2012-2013,2013-02-23,Orlando Magic,94,118,Cleveland Cavaliers,0.2727272727272727,0.3148148148148148
2012-2013,2013-02-23,Washington Wizards,105,103,Houston Rockets,0.3018867924528302,0.543859649122807
2012-2013,2013-02-23,Detroit Pistons,72,90,Indiana Pacers,0.38596491228070173,0.6181818181818182
2012-2013,2013-02-23,Philadelphia 76ers,90,114,Miami Heat,0.4230769230769231,0.7307692307692307
2012-2013,2013-02-23,Milwaukee Bucks,102,103,Atlanta Hawks,0.49056603773584906,0.5660377358490566
2012-2013,2013-02-23,Los Angeles Clippers,107,94,Utah Jazz,0.6842105263157895,0.5636363636363636
2012-2013,2013-02-24,Dallas Mavericks,99,103,Los Angeles Lakers,0.46296296296296297,0.48214285714285715
2012-2013,2013-02-24,Minnesota Timberwolves,99,100,Golden State Warriors,0.38461538461538464,0.5818181818181818
2012-2013,2013-02-24,Miami Heat,109,105,Cleveland Cavaliers,0.7358490566037735,0.32727272727272727
2012-2013,2013-02-24,New Orleans Pelicans,110,95,Sacramento Kings,0.3392857142857143,0.3392857142857143
2012-2013,2013-02-24,Brooklyn Nets,72,76,Memphis Grizzlies,0.5892857142857143,0.6666666666666666
2012-2013,2013-02-24,New York Knicks,99,93,Philadelphia 76ers,0.6153846153846154,0.41509433962264153
2012-2013,2013-02-24,Phoenix Suns,87,97,San Antonio Spurs,0.32142857142857145,0.7719298245614035
2012-2013,2013-02-24,Portland Trail Blazers,92,86,Boston Celtics,0.45454545454545453,0.5272727272727272
2012-2013,2013-02-24,Oklahoma City Thunder,102,72,Chicago Bulls,0.7272727272727273,0.5818181818181818
2012-2013,2013-02-25,Toronto Raptors,84,90,Washington Wizards,0.4107142857142857,0.3148148148148148
2012-2013,2013-02-25,Detroit Pistons,103,114,Atlanta Hawks,0.3793103448275862,0.5740740740740741
2012-2013,2013-02-25,Denver Nuggets,119,108,Los Angeles Lakers,0.6140350877192983,0.49122807017543857
2012-2013,2013-02-25,Utah Jazz,107,110,Boston Celtics,0.5535714285714286,0.5178571428571429
2012-2013,2013-02-26,Indiana Pacers,108,97,Golden State Warriors,0.625,0.5892857142857143
2012-2013,2013-02-26,Philadelphia 76ers,84,98,Orlando Magic,0.4074074074074074,0.26785714285714285
2012-2013,2013-02-26,Miami Heat,141,129,Sacramento Kings,0.7407407407407407,0.3333333333333333
2012-2013,2013-02-26,Chicago Bulls,98,101,Cleveland Cavaliers,0.5714285714285714,0.32142857142857145
2012-2013,2013-02-26,New Orleans Pelicans,97,101,Brooklyn Nets,0.3508771929824561,0.5789473684210527
2012-2013,2013-02-26,Dallas Mavericks,90,95,Milwaukee Bucks,0.45454545454545453,0.48148148148148145
2012-2013,2013-02-26,Phoenix Suns,84,83,Minnesota Timberwolves,0.3157894736842105,0.37735849056603776
2012-2013,2013-02-26,Los Angeles Clippers,106,84,Charlotte Hornets,0.6896551724137931,0.23214285714285715
2012-2013,2013-02-27,Cleveland Cavaliers,103,92,Toronto Raptors,0.3333333333333333,0.40350877192982454
2012-2013,2013-02-27,Orlando Magic,101,125,Sacramento Kings,0.2807017543859649,0.3275862068965517
2012-2013,2013-02-27,Washington Wizards,95,96,Detroit Pistons,0.32727272727272727,0.3728813559322034
2012-2013,2013-02-27,Houston Rockets,107,110,Milwaukee Bucks,0.5344827586206896,0.4909090909090909
2012-2013,2013-02-27,Memphis Grizzlies,90,84,Dallas Mavericks,0.6727272727272727,0.44642857142857145
2012-2013,2013-02-27,New York Knicks,109,105,Golden State Warriors,0.6226415094339622,0.5789473684210527
2012-2013,2013-02-27,Oklahoma City Thunder,119,74,New Orleans Pelicans,0.7321428571428571,0.3448275862068966
2012-2013,2013-02-27,San Antonio Spurs,101,105,Phoenix Suns,0.7758620689655172,0.3275862068965517
2012-2013,2013-02-27,Utah Jazz,91,102,Atlanta Hawks,0.543859649122807,0.5818181818181818
2012-2013,2013-02-27,Portland Trail Blazers,109,111,Denver Nuggets,0.4642857142857143,0.6206896551724138
2012-2013,2013-02-28,Indiana Pacers,91,99,Los Angeles Clippers,0.631578947368421,0.6949152542372882
2012-2013,2013-02-28,Chicago Bulls,93,82,Philadelphia 76ers,0.5614035087719298,0.4
2012-2013,2013-02-28,Los Angeles Lakers,116,94,Minnesota Timberwolves,0.4827586206896552,0.37037037037037035
2012-2013,2013-03-01,Orlando Magic,110,118,Houston Rockets,0.27586206896551724,0.5254237288135594
